[2024-03-21 16:47:04,351: INFO: main: welcome to our custome log]
[2024-03-24 17:03:05,178: INFO: common: yaml file: config\config.yml loaded successfully]
[2024-03-24 17:04:44,615: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 17:04:44,620: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-24 17:04:44,628: INFO: common: created directory at: artifacts]
[2024-03-24 17:04:44,628: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 17:04:44,639: INFO: 3363753437: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-24 17:09:40,719: INFO: 3363753437: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 00:20:50,549: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-25 00:20:50,890: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-25 00:20:51,041: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-25 00:20:51,093: INFO: common: created directory at: artifacts]
[2024-03-25 00:20:51,293: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-25 00:20:51,506: INFO: Data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 00:38:13,419: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-25 00:38:13,435: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-25 00:38:13,435: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-25 00:38:13,435: INFO: common: created directory at: artifacts]
[2024-03-25 00:38:13,435: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-25 00:38:13,435: INFO: Data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 00:48:17,983: INFO: Data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 00:48:20,381: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-25 11:53:01,896: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-25 11:53:01,954: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-25 11:53:02,026: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-25 11:53:02,064: INFO: common: created directory at: artifacts]
[2024-03-25 11:53:02,075: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-25 11:53:02,122: INFO: Data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 11:53:40,195: INFO: Data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 11:53:45,148: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-25 12:18:58,454: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-25 12:18:58,586: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-25 12:18:58,642: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-25 12:18:58,693: INFO: common: created directory at: artifacts]
[2024-03-25 12:18:58,709: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-25 12:18:58,748: INFO: Data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 12:31:53,230: INFO: Data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-25 12:31:56,157: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
